ID,NAME,TELEPHONE,ADDRESS,CITY,STATE,ZIP,COUNTY,FIPS,X,Y
1002,STAT MD PROFESSIONAL LIMITED LIABILITIES COMPANY,516-352-7828,2029 JERICHO TURNPIKE,NEW HYDE PARK,NY,11040,NASSAU,36059,-73.6739675,40.7359742
1006,RYE WALK IN MEDICAL CENTER,914-967-3266,150 PURCHASE STREET,RYE,NY,10580,WESTCHESTER,36119,-73.6837411,40.9870767
1011,NORTHERN URGENT CARE CENTER,718-939-5900,164-18 NORTHERN BOULEVARD,FLUSHING,NY,11358,QUEENS,36081,-73.8017759,40.7602477
1012,RAPID MEDICAL CENTER,718-626-6010,3316 BROADWAY,LONG ISLAND CITY,NY,11106,QUEENS,36081,-73.9233379,40.7608298
1026,EAST MEADOW WALK-IN CLINIC,516-505-1010,1620 FRONT STREET,EAST MEADOW,NY,11554,NASSAU,36059,-73.5713853,40.7149015
1039,DOCTORS CARE,631-348-4900,1 KINGS HIGHWAY,HAUPPAUGE,NY,11788,SUFFOLK,36103,-73.2185432,40.815788
1050,LONG ISLAND FAMILY MEDICAL GROUP - MILLER PLACE,631-821-0505,765 STATE ROUTE 25A,MILLER PLACE,NY,11764,SUFFOLK,36103,-72.9737778,40.943827
1051,NASSAU IMMEDIATE MEDICAL CARE,516-294-3535,465 WILLIS AVENUE,WILLISTON PARK,NY,11596,NASSAU,36059,-73.6455558,40.7564877
1069,PEDIATRIC IMMEDIATE CARE,631-956-3516,150 SUNRISE HIGHWAY,LINDENHURST,NY,11757,SUFFOLK,36103,-73.3759571,40.7037653
1113,WESTCHESTER MEDICAL GROUP URGENT CARE,914-681-3100,210 WESTCHESTER AVENUE,WHITE PLAINS,NY,10604,WESTCHESTER,36119,-73.7415699,41.031524
1147,WALK IN MEDICAL CENTER,631-588-7007,299 RONKONKOMA AVENUE,RONKONKOMA,NY,11779,SUFFOLK,36103,-73.1117587,40.8139386
1148,QUICK DOCS,718-240-2673,255 EAST 98TH STREET,BROOKLYN,NY,11212,KINGS,36047,-73.9186576,40.6614573
1149,STAT HEALTH,631-734-8363,32645 MAIN ROAD,CUTCHOGUE,NY,11935,SUFFOLK,36103,-72.4783262,41.0217932
1161,DELTA MEDICAL CENTER,212-368-5333,2450 8TH AVENUE,NEW YORK,NY,10027,NEW YORK,36061,-73.9480217,40.8139977
1168,EAST HAMPTON URGENT MEDICAL CARE,631-329-5900,470 MONTAUK HIGHWAY,EAST HAMPTON,NY,11937,SUFFOLK,36103,-72.1601637,40.9688134
1190,PRIME CARE MEDICAL NETWORK OF THE HAMPTONS,631-728-4500,240 WEST MONTAUK HIGHWAY,HAMPTON BAYS,NY,11946,SUFFOLK,36103,-72.5471898,40.8682571
1191,THROGS NECK URGENT MEDICAL CARE PRIMARY CARE,718-597-5800,3594 EAST TREMONT AVENUE,BRONX,NY,10465,BRONX,36005,-73.8249667,40.8288596
1215,FIRSTCARE WALK IN MEDICAL CLINIC,718-478-2273,4275 65TH PLACE,WOODSIDE,NY,11377,QUEENS,36081,-73.89921,40.7413707
1235,STATCARE URGENT MEDICAL,516-938-1550,412 SOUTH BROADWAY,HICKSVILLE,NY,11801,NASSAU,36059,-73.5135074,40.7588827
1292,IMMEDIATE FAMILY CARE,631-968-0800,41 BRENTWOOD ROAD,BAY SHORE,NY,11706,SUFFOLK,36103,-73.2352878,40.7296877
1308,HEMPSTEAD MAINE MEDICAL CENTER,516-489-6600,2 MAIN STREET,HEMPSTEAD,NY,11550,NASSAU,36059,-73.6233186,40.7065842
1317,SOUTHHAMPTON URGENT MEDICAL CARE,631-204-9600,609 HAMPTON ROAD,SOUTHAMPTON,NY,11968,SUFFOLK,36103,-72.3731307,40.8977891
1362,FIRST MED IMMEDIATE MEDICAL SERVICES OF QUEENS,718-224-8855,210-21 NORTHERN BOULEVARD,BAYSIDE,NY,11361,QUEENS,36081,-73.7726265,40.7597212
1480,ERDOX,631-841-4102,365 BROADWAY,AMITYVILLE,NY,11701,SUFFOLK,36103,-73.4177151,40.6842072
1574,LONG ISLAND FAMILY MEDICAL GROUP - SAYVILLE,631-589-4747,160 MIDDLE ROAD,SAYVILLE,NY,11782,SUFFOLK,36103,-73.0792469,40.7356418
1879,FIRST CARE IMMEDIATE MEDICAL CARE,516-546-2266,2360 GRAND AVENUE,BALDWIN,NY,11510,NASSAU,36059,-73.6115796,40.6530404
1887,WE CARE WALK IN MEDICAL CENTER,718-843-5100,82-12 151ST AVENUE,HOWARD BEACH,NY,11414,QUEENS,36081,-73.8518236,40.6673697
1945,OPPORTUNITY DEVELOPMENT ASSOCIATION PRIMARY HEALTH CARE CENTER INCORPORATED,718-852-0803,14-16 HEYWARD STREET,BROOKLYN,NY,11211,KINGS,36047,-73.9589022,40.6996055
1961,BETH ISRAEL MEDICAL GROUP,212-252-6001,55 EAST 34TH STREET,NEW YORK,NY,10016,NEW YORK,36061,-73.9819651,40.7475794
