"","X","County.FIPS","County.Name","County.ID","Total.Pop","No..Poverty","Median.Income","No..Spanish","No..LES","No..Own.Computers","No..Only.Smartphone","No..No.Computer","Total.No..Workers","Less.than.10.Min.x","X10.14.Min","X15.19.Min","X20.24.Min","X25.29.Min","X30.34.Min","X35.44.Min","X45.59.Min","X60...Min","No..Public.Trans","Less.than.10.Min.y","X10.14.Min.PT","X15.19.Min.PT","X20.24.Min.PT","X25.29.Min.PT","X30.34.Min.PT","X35.44.Min.PT","X45.49.Min.PT","X60...Min.PT","No.Vehicles","One.Vehicle","Two.Vehicles","Three...Vehicles","No..Non.Citizen","No..No.Internet"
"1",1,36001,"Albany ",1,307463,291838,59887,4497,504,113058,6467,12271,148071,19399,25143,32593,28595,10191,16633,5975,5161,4381,8735,116,408,991,1409,673,2109,694,1087,1248,9153,37594,65817,37313,11951,15794
"2",2,36003,"Allegany ",3,48070,43104,42776,219,4,0,0,0,19219,5443,2737,2419,2408,1028,1907,1050,1006,1221,122,0,24,18,21,16,11,9,7,16,891,3827,8304,5047,553,0
"3",3,36005,"Bronx ",5,1428357,1392596,34299,244039,75897,424883,58623,73656,529983,23533,29408,37131,42396,15537,77149,43011,87998,173820,327310,1420,2647,6780,13760,6282,41661,30077,71059,153624,256656,188628,76835,21995,264285,106214
"4",4,36007,"Broome ",7,198093,188107,46261,2276,232,66738,4042,10219,83837,14991,18740,17446,14264,4458,6100,1982,1940,3916,2882,48,238,240,701,209,485,72,329,560,4467,19289,36520,25017,5312,11438
"5",5,36009,"Cattaraugus ",9,78962,76421,42601,465,39,26343,2685,5066,32554,8607,5454,4266,3631,1762,2816,1709,2194,2115,166,26,27,4,21,0,20,27,8,33,1612,7465,14877,9138,717,7052
"6",6,36011,"Cayuga ",11,79173,75170,52082,633,48,26197,2640,4769,34562,7587,6125,4624,3918,1836,3328,2737,2610,1797,331,13,113,42,50,0,69,18,2,24,1465,7419,15973,10844,892,5598
"7",7,36013,"Chautauqua ",13,132646,126525,42993,2831,516,43342,2775,8363,54280,15700,11053,9446,5492,2383,4042,1908,2114,2142,187,9,4,38,23,0,41,7,35,30,2326,13624,24815,14594,1361,10375
"8",8,36015,"Chemung ",15,88267,82553,50320,551,29,30183,1456,4235,36755,7672,7827,7111,4749,1945,2836,1446,1568,1601,769,0,52,42,13,55,176,109,132,190,1832,6950,17611,10710,1012,5410
"9",9,36017,"Chenango ",17,49549,48794,45668,302,38,0,0,0,20014,4209,3260,2582,2267,1551,2142,1250,1368,1385,138,31,0,17,12,9,54,2,6,7,520,3992,9223,7360,393,0
"10",10,36019,"Clinton ",19,81685,73807,49930,541,30,26834,1095,3790,33686,7594,6755,5698,4869,2029,2448,1260,1155,1878,211,13,9,21,4,7,41,2,99,15,1506,6832,14987,10507,1941,4991
"11",11,36021,"Columbia ",21,62195,60195,59105,773,213,0,0,0,27263,5257,3554,3549,3545,1709,3056,2396,1955,2242,672,17,25,13,46,26,166,92,31,256,824,5818,12663,9681,1826,0
"12",12,36023,"Cortland ",23,49043,45514,49514,325,0,0,0,0,22370,5201,4326,3392,2246,931,2328,1533,1514,899,194,32,3,26,27,0,43,12,19,32,926,4716,9414,7565,335,0
"13",13,36025,"Delaware ",25,46901,44514,43720,400,33,0,0,0,18103,4640,2731,2527,1960,812,1699,1175,1335,1224,281,54,15,14,31,34,24,21,21,67,789,4113,7626,6419,664,0
"14",14,36027,"Dutchess ",27,296928,280620,71904,8948,1745,99426,4195,8774,132472,18726,16886,17644,15671,6879,14586,8865,11944,21271,7041,111,160,244,275,70,562,178,277,5164,5393,25633,56255,48969,15047,10100
"15",15,36029,"Erie ",29,921584,895449,51247,14500,2658,331880,25492,48593,420598,59925,69163,73793,78490,35488,52182,22504,15810,13243,15964,459,1038,1425,1970,946,3135,1392,2207,3392,22803,105110,190309,109070,31308,60767
"16",16,36031,"Essex ",31,38912,36476,52758,246,49,0,0,0,16456,5272,2246,1876,1743,958,1522,889,932,1018,124,40,32,0,3,5,5,1,7,31,513,3289,7517,5764,924,0
"17",17,36033,"Franklin ",33,51280,45485,47923,259,43,0,0,0,18406,5198,3205,2781,2416,752,1284,692,930,1148,136,17,8,4,35,0,16,7,2,47,681,4346,9239,4872,931,0
"18",18,36035,"Fulton ",35,54606,53298,46969,432,28,0,0,0,22788,4821,3761,3470,2847,1068,1883,1031,1658,2249,141,0,8,0,20,0,4,0,9,100,792,5570,10731,6453,534,0
"19",19,36037,"Genesee ",37,59458,58638,50880,523,59,0,0,0,28312,6650,4499,3635,3195,1666,2870,2088,2550,1159,118,17,19,17,0,4,16,7,16,22,760,5712,13433,9183,625,0
"20",20,36039,"Greene ",39,48312,45109,50278,448,13,0,0,0,18416,3230,2611,2284,1920,1370,1738,1799,1751,1713,182,0,9,7,14,0,62,21,36,33,582,3760,8007,6814,1081,0
"21",21,36041,"Hamilton ",41,4760,4731,48243,11,0,0,0,0,1704,580,167,226,83,38,185,39,226,160,3,0,0,0,0,0,0,3,0,0,90,321,875,513,45,0
"22",22,36043,"Herkimer ",43,64034,62691,46229,431,37,0,0,0,27031,5568,3995,3526,3752,1902,3366,1816,1644,1462,237,19,1,34,28,4,48,31,7,65,865,6271,12261,8761,580,0
