"","NAME","ADDRESS","CITY","TYPE","POPULATION","COUNTY","COUNTYFIPS","X","Y","OWNER","BEDS","HELIPAD","heli.dummy"
"1","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","101 HOSPITAL RD","PATCHOGUE","GENERAL ACUTE CARE",306,"SUFFOLK",36103,-72.97714065,40.78005719,"NON-PROFIT",306,"Y",1
"2","SOUTHAMPTON HOSPITAL","240 MEETING HOUSE LANE","SOUTHAMPTON","GENERAL ACUTE CARE",125,"SUFFOLK",36103,-72.37994406,40.88505974,"NON-PROFIT",125,"NOT AVAILABLE",0
"3","EASTERN LONG ISLAND HOSPITAL","201 MANOR PL","GREENPORT","GENERAL ACUTE CARE",90,"SUFFOLK",36103,-72.36112732,41.11036057,"NON-PROFIT",90,"Y",1
"4","HUNTINGTON HOSPITAL","270 PARK AVE","HUNTINGTON","GENERAL ACUTE CARE",408,"SUFFOLK",36103,-73.41619953,40.87932924,"NON-PROFIT",408,"NOT AVAILABLE",0
"5","SOUTHSIDE HOSPITAL","301 E MAIN ST","BAY SHORE","GENERAL ACUTE CARE",321,"SUFFOLK",36103,-73.24115864,40.72596015,"NON-PROFIT",321,"NOT AVAILABLE",0
"6","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVE","RIVERHEAD","GENERAL ACUTE CARE",140,"SUFFOLK",36103,-72.67362495,40.93426399,"NON-PROFIT",140,"NOT AVAILABLE",0
"7","ST CHARLES HOSPITAL AND REHABILITATION CENTER","200 BELLE TERRE RD","PORT JEFFERSON","GENERAL ACUTE CARE",243,"SUFFOLK",36103,-73.06096322,40.94663123,"NON-PROFIT",243,"Y",1
"8","ST. CATHERINE OF SIENA MEDICAL CENTER","50 ROUTE","SMITHTOWN","GENERAL ACUTE CARE",306,"SUFFOLK",36103,-73.22299673,40.86850019,"NON-PROFIT",306,"NOT AVAILABLE",0
"9","CAYUGA MEDICAL CENTER","101 DATES DR","ITHACA","GENERAL ACUTE CARE",212,"TOMPKINS",36109,-76.53748416,42.46898507,"NON-PROFIT",212,"Y",1
"10","GOOD SAMARITAN HOSPITAL - WEST ISLIP","1000 MONTAUK HIGHWAY","WEST ISLIP","GENERAL ACUTE CARE",437,"SUFFOLK",36103,-73.29439462,40.69388013,"NON-PROFIT",437,"NOT AVAILABLE",0
"11","GROVER M. HERMAN HOSPITAL","8081 ROUTE 97","CALLICOON","CRITICAL ACCESS",15,"SULLIVAN",36105,-75.04741551,41.74029193,"NON-PROFIT",15,"NOT AVAILABLE",0
"12","HEALTHALLIANCE HOSPITAL - MARY'S AVENUE CAMPSU","105 MARY'S AVENUE","KINGSTON","GENERAL ACUTE CARE",150,"ULSTER",36111,-73.99968712,41.92149416,"NON-PROFIT",150,"Y",1
"13","HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS","396 BROADWAY","KINGSTON","GENERAL ACUTE CARE",150,"ULSTER",36111,-73.99484207,41.92665841,"NON-PROFIT",150,"NOT AVAILABLE",0
