"","NAME","ADDRESS","CITY","COUNTY","FIPS","X","Y"
"1","RITE AID - 10870","811 NORTH MAIN STREET","JAMESTOWN","CHAUTAUQUA",36013,-79.2422217,42.1012707
"2","SOUTHSIDE PHARMACY","766 FOOTE AVENUE","JAMESTOWN","CHAUTAUQUA",36013,-79.2293501,42.0795233
"3","JOHNSON'S VILLAGE PHARMACY","99 EAST CHAUTAUQUA STREET","MAYVILLE","CHAUTAUQUA",36013,-79.4977668,42.2591631
"4","THE CARE CENTER RX AND MEDICAL SUPPLY","15 WEST LUCAS AVENUE","DUNKIRK","CHAUTAUQUA",36013,-79.3341927,42.4742244
"5","RITE AID - 3373","3795 EAST MAIN ROAD","FREDONIA","CHAUTAUQUA",36013,-79.3084042,42.4496846
"6","TOPS","738 FOOTE AVENUE","JAMESTOWN","CHAUTAUQUA",36013,-79.2298852,42.0804276
"7","TOPS","2000 WASHINGTON STREET","JAMESTOWN","CHAUTAUQUA",36013,-79.2436052,42.1098497
"8","WAL-MART SUPERCENTER - 1973","350 EAST FAIRMOUNT AVENUE","LAKEWOOD","CHAUTAUQUA",36013,-79.2999225,42.0969873
"9","WESTFIELD APOTHECARY","53 EAST MAIN STREET","WESTFIELD","CHAUTAUQUA",36013,-79.5768378,42.3231314
"10","WEGMANS","945 FAIRMOUNT AVENUE","JAMESTOWN","CHAUTAUQUA",36013,-79.2908648,42.0945093
"11","RITE AID - 3033","963 FAIRMOUNT AVENUE","JAMESTOWN","CHAUTAUQUA",36013,-79.2924178,42.0970122
"12","LAKEWOOD APOTHECARY","130 CHAUTAUQUA AVENUE","LAKEWOOD","CHAUTAUQUA",36013,-79.3264951,42.1020309
"13","PHARMACY INNOVATIONS","863 FAIRMOUNT AVENUE","JAMESTOWN","CHAUTAUQUA",36013,-79.2872554,42.0970361
"14","CVS - 309","175 EAST 4TH STREET","DUNKIRK","CHAUTAUQUA",36013,-79.3284402,42.4836233
"15","CVS - 5075","117 EAST MAIN STREET","WESTFIELD","CHAUTAUQUA",36013,-79.5745503,42.3250587
"16","KMART","975 FAIRMOUNT AVENUE","JAMESTOWN","CHAUTAUQUA",36013,-79.2927539,42.0944445
"17","THE RESOURCE CENTER PHARMACY","12 CARROLL STREET","JAMESTOWN","CHAUTAUQUA",36013,-79.2512708,42.0977991
"18","HERITAGE VILLAGE REHAB AND SKILLED NURSING","4570 ROUTE 60","GERRY","CHAUTAUQUA",36013,-79.250574,42.1963103
"19","RITE AID - 10874","40 SOUTH ERIE STREET","MAYVILLE","CHAUTAUQUA",36013,-79.5036305,42.253526
"20","RITE AID - 10873","279 EAST FAIRMOUNT AVENUE","LAKEWOOD","CHAUTAUQUA",36013,-79.3070607,42.0996089
"21","WALGREENS - 11729","327 MAIN STREET","DUNKIRK","CHAUTAUQUA",36013,-79.3289696,42.4844663
"22","PARKSIDE PHARMACY","975 BROADWAY STREET","BUFFALO","ERIE",36029,-78.8385197,42.8929181
"23","RITE AID - 675","4018 SENECA STREET","WEST SENECA","ERIE",36029,-78.7543677,42.8306615
"24","RITE AID - 4672","9062 ERIE ROAD","ANGOLA","ERIE",36029,-79.0491329,42.6381238
"25","PARKVIEW HEALTH SERVICES","1770 COLVIN BOULEVARD","BUFFALO","ERIE",36029,-78.853662,42.9870994
"26","TARGET","1575 NIAGARA FALLS BOULEVARD","AMHERST","ERIE",36029,-78.8184033,42.9979403
"27","RITE AID - 4969","3050 UNION ROAD","ORCHARD PARK","ERIE",36029,-78.7527332,42.8023708
"28","CVS - 5087","19 SOUTH MAIN STREET","JAMESTOWN","CHAUTAUQUA",36013,-79.238585,42.0935859
"29","BAILEY PRESCRIPTION CENTER HEALTH MART PHARMACY","2608 BAILEY AVENUE","BUFFALO","ERIE",36029,-78.813906,42.9255777
"30","WALGREENS - 5610","3605 SHERIDAN DRIVE","AMHERST","ERIE",36029,-78.8002731,42.9789888
"31","WALGREENS - 9717","6785 TRANSIT ROAD","EAST AMHERST","ERIE",36029,-78.6961501,43.0338673
"32","SAM'S CLUB - 6673","3735 UNION ROAD","CHEEKTOWAGA","ERIE",36029,-78.750491,42.9152542
"33","WALGREENS - 11142","9217 MAIN STREET","CLARENCE","ERIE",36029,-78.6474356,42.9691448
"34","RITE AID - 10838","2561 UNION ROAD","CHEEKTOWAGA","ERIE",36029,-78.753124,42.881925
"35","RITE AID - 10836","2401 GENESEE STREET","CHEEKTOWAGA","ERIE",36029,-78.7942534,42.91931
"36","RITE AID - 10861","4433 DEWEY AVENUE","ROCHESTER","MONROE",36055,-77.6474598,43.2524181
"37","RITE AID - 10830","2175 SOUTH PARK AVENUE","BUFFALO","ERIE",36029,-78.8242236,42.8394484
"38","RITE AID - 1500","6000 TRANSIT ROAD","DEPEW","ERIE",36029,-78.6978019,42.918997
"39","RITE AID - 10860","1490 LAKE AVENUE","ROCHESTER","MONROE",36055,-77.6279753,43.193626
"40","CVS - 653","1370 NORTON STREET","ROCHESTER","MONROE",36055,-77.5855209,43.187826
"41","CVS - 592","2100 MONROE AVENUE","ROCHESTER","MONROE",36055,-77.560946,43.1238483
"42","WEGMANS","651 DICK ROAD","DEPEW","ERIE",36029,-78.7363434,42.9209174
"43","UNIVERSITY OF ROCHESTER MEDICAL CENTER SURGERY CENTER","180 SAWGRASS DRIVE","ROCHESTER","MONROE",36055,-77.6090851,43.1141174
"44","WEGMANS","4960 TRANSIT ROAD","DEPEW","ERIE",36029,-78.7001438,42.8816868
"45","TARGET","3181 CHILI AVENUE","ROCHESTER","MONROE",36055,-77.7467946,43.1042511
"46","WEGMANS","3740 MCKINLEY PARKWAY","BUFFALO","ERIE",36029,-78.8124003,42.7829552
"47","RITE AID - 10867","2050 CHILI AVENUE","ROCHESTER","MONROE",36055,-77.6870973,43.1325543
"48","BROOKS PHARMACY","4481 LAKE SHORE ROAD","HAMBURG","ERIE",36029,-78.8791518,42.7621017
"49","TOPS","285 UPPER FALLS BOULEVARD","ROCHESTER","MONROE",36055,-77.6095885,43.1698829
"50","HOLLAND PHARMACY INCORPORATED","19 NORTH MAIN STREET","HOLLAND","ERIE",36029,-78.5420725,42.6414389
"51","ANTHONY BROWN HEALTH MART PHARMACY","4328 SOUTH BUFFALO STREET","ORCHARD PARK","ERIE",36029,-78.7444647,42.7655735
"52","MILLERS PHARMACY","201 SCOTTSVILLE WEST HENRIETTA ROAD","WEST HENRIETTA","MONROE",36055,-77.707685,43.0357087
"53","HIGHLAND SOUTH WEDGE PHARMACY","777 SOUTH CLINTON AVENUE","ROCHESTER","MONROE",36055,-77.5991933,43.1421543
"54","WAL-MART SUPERCENTER - 2859","2150 CHILI AVENUE","ROCHESTER","MONROE",36055,-77.6889999,43.1337742
"55","WAL-MART - 1744","1902 EMPIRE BOULEVARD","WEBSTER","MONROE",36055,-77.4981467,43.1904294
"56","TOPS","128 WEST MAIN STREET","LE ROY","GENESEE",36037,-78.0047361,42.9797913
